target_ep0,target_ep1,target_ep2,target_ep3,prediction0,prediction1,prediction2,prediction3,prediction0mse,prediction1mse,prediction2mse,prediction3mse,std0,std1,std2,std3,var0,var1,var2,var3
0.11058781862261084,0.5743702090320759,0.9237352337912379,0.5511687514282527,0.10579171410659424,0.664113451565353,0.8729670142408817,0.5003545059884402,0.00018805868451862416,0.00810711529519889,0.0028423132963275614,0.002596052582824168,0.034736054172951725,0.1150664560008786,0.058770006674480374,0.05619158537625987,0.001206593459506237,0.013240289296602132,0.003453913684518468,0.0031574942670975024
0.2620742061874691,0.8422830605062023,0.8911230857968001,0.40162240127737886,0.2985938518174368,0.6759708988545181,0.9465764321684911,0.4874600989868754,0.0015592263528080358,0.02772738453054937,0.003244959294546355,0.007376116021689229,0.06963734558299828,0.11975041569947968,0.057757278539906406,0.05735579814373465,0.00484935989984593,0.014340162060198188,0.003335903224336333,0.003289687580704835
0.34314198007535907,0.5825057150345434,0.663644413525628,0.5558487627002764,0.2870054180321203,0.6691115701188991,0.6586548473530445,0.5154538733155242,0.0033078691422941224,0.007537650115692349,0.00010967902499573193,0.0016397767051778238,0.06273616150513665,0.12111373965222609,0.0389933937364482,0.05587719064217002,0.003935825960398589,0.014668537932547202,0.0015204847550856781,0.0031222604340614126
0.14483829129136075,0.5324854807555583,0.6080162964138873,0.5802222811499187,0.1468677949793026,0.6646063817706289,0.6186279853156047,0.5294874060802608,8.613494977155231e-05,0.01750671439738561,0.0001358838254597492,0.0025880766531588277,0.0322762540302717,0.10495614703690641,0.033135291692633184,0.048156862397448055,0.00104175657422663,0.011015792800832718,0.0010979475555558855,0.0023190833959667464
0.2862682643000538,0.7723275976944037,0.6467729908663954,0.40783124391373593,0.30522943081434284,0.678479037421334,0.7036254933471267,0.5082904152894845,0.0005065146011783256,0.008874224009155374,0.0033386016912025133,0.010099257280889723,0.06580330119978206,0.12085336168899437,0.04454350608018809,0.05822725837826702,0.00433007444878924,0.014605535031530892,0.0019841239339157533,0.003390413618249467
0.3865199633681424,0.6074522953179217,0.7022189370281651,0.5557216373221124,0.3614326575495781,0.7120107704977098,0.6720173166408251,0.5100834271180696,0.0007280066760145426,0.010995011242089524,0.0010032921477387345,0.0020909014262395632,0.060971642551842516,0.10868398596256504,0.04005683584442499,0.05625641371734073,0.0037175411954696526,0.011812208804711033,0.0016045500978672106,0.003164784084336602
0.14365907371403655,0.5756116390340361,0.7960077528414061,0.5433611810008799,0.14240855224978338,0.6594363040790572,0.7658917363359026,0.506745454784283,0.00013528871008090248,0.007069834587743837,0.001105159040664924,0.0013495751514746809,0.04141493760482171,0.1205932159599061,0.05573615556903935,0.059283700224639614,0.0017151970568112756,0.014542723735552553,0.003106519037616156,0.0035145571123249347
0.25564369487249144,0.6743440229988478,0.6410653907709243,0.5322732357939036,0.2528697400754839,0.6700609385621523,0.632567214689383,0.5222628280453355,0.00019543796813795478,5.6366382199893745e-05,0.0001385380563359709,0.0001111964422281097,0.05131428564935573,0.11351283775371843,0.033941068178428735,0.05167892343773205,0.002633155911703675,0.012885164334902005,0.0011519961090927476,0.0026707111276829706
0.3192861099595237,0.62884859323684,0.7650964655187742,0.5567387068627735,0.2829275438828628,0.6692929062123006,0.7605338698836254,0.5026490702941491,0.001458621830765823,0.0016814971845770465,0.0001390632368506397,0.0029315317934365294,0.0672606943393007,0.12506278713707347,0.050477365484469634,0.0600224881234952,0.004524001003004837,0.01564070072649295,0.002547964426252726,0.003602699080535122
0.1110210165196582,0.6928672690505313,0.7999973433612387,0.5243323996859452,0.13187618709370846,0.6589152533128538,0.7545307064031744,0.5089107779788907,0.0005509267773380404,0.0011932580816929475,0.002320700450560317,0.0002492704556937158,0.03896859735516193,0.11905508970886682,0.05459969011754024,0.0585039117365942,0.0015185515798287333,0.014174114385586327,0.002981126160931421,0.003422707688483205
0.366744518112272,0.7886895631324877,0.7836553622207885,0.4115261746525525,0.40649425534451616,0.7484153735087024,0.8079764635675206,0.4923431459500847,0.0017371912776328934,0.0017380818638613623,0.0006963438921323647,0.006539477751966419,0.06065583332980341,0.10119390058062672,0.05267537866447681,0.0595757675371814,0.0036791301169328905,0.010240205514721764,0.0027746955174460185,0.003549272077644277
